id,greek,english,russian,level,group,type,example
865,το νόημα,"meaning, sense","смысл, значение",A2,concepts,noun,Δεν καταλαβαίνω το νόημα αυτής της πρότασης.
866,νοικιάζω,to rent,"снимать, арендовать",A2,verbs,verb,Νοικιάζω διαμέρισμα στο κέντρο.
867,νομίζω,to think,думать,A2,verbs,verb,Νομίζω ότι αύριο θα βρέξει.
868,η Νορβηγία,Norway,Норвегия,A2,countries,noun,η Νορβηγία είναι όμορφη.
869,ο νορβηγός,Norwegian person,норвежец,A2,countries,noun,Ένας νορβηγός τουρίστας ήρθε στην Αθήνα.
870,νορβηγικός,Norwegian,норвежский,A2,countries,adjective,Ο νορβηγικός καιρός είναι πολύ κρύος.
871,το νοσοκομείο,hospital,больница,A2,body,noun,Πήγα στο νοσοκομείο για εξέταση.
872,ο/η νοσοκόμος,nurse,медсестра,A2,people,noun,Η νοσοκόμος μου έδωσε το φάρμακο.
873,νόστιμος,tasty,вкусный,A2,descriptions,adjective,Το μεσημεριανό ήταν πολύ νόστιμο.
874,η νότα,note,примечание,A2,music,noun,Μου αρέσει η νότα.
875,το νούμερο,number,номер,A2,time,noun,Ποιο νούμερο παπουτσιών φοράς;
876,το Ντουμπάι,Dubai,Дубай,A2,geography,noun,το Ντουμπάι είναι όμορφο.
877,η νταντά,nanny,няня,A2,objects,noun,Η νταντά φροντίζει το μωρό ενώ δουλεύω.
878,η ντομάτα,tomato,томат,A2,food,noun,η ντομάτα είναι νόστιμη.
879,το ντόνατ,donut,пончик,A2,food,noun,Αγόρασα ένα ντόνατ με σοκολάτα.
880,η ντουλάπα,closet,шкаф,A2,home,noun,Κρέμασα τα ρούχα στην ντουλάπα.
881,το ντουλάπι,cupboard,шкаф,A2,home,noun,Τα ποτήρια είναι στο ντουλάπι της κουζίνας.
882,τα ντραμς,drums,барабаны,A2,music,noun,Μου αρέσει τα ντραμς.
883,ντύνομαι,to get dressed,одеваться,A2,verbs,verb,Ντύνομαι γρήγορα το πρωί.
884,το νυφικό,wedding dress,свадебное платье,A2,clothes,noun,Το νυφικό ήταν υπέροχο στον γάμο.
885,η νύχτα,night,ночь,A2,time,noun,Κοιμάμαι καλά τη νύχτα.
886,νωρίς,early,рано,A2,descriptions,adverb,Σηκώνομαι νωρίς κάθε πρωί.
887,ο/η ξάδερφος,cousin,"двоюродный брат, κузен",A2,people,noun,Ο ξάδερφός μου μένει στη Θεσσαλονίκη.
888,ξανά,again,снова,A2,basics,adverb,Μπορείς να το πεις ξανά παρακαλώ;
889,ξανθός,blond,блондин,A2,colors,adjective,Η φίλη μου είναι ξανθιά με μπλε μάτια.
890,ξεκινάω,"to begin, to start",начинать,A2,verbs,verb,Ξεκινάω δουλειά στις οκτώ το πρωί.
891,το ξενοδοχείο,hotel,отель,A2,city,noun,το ξενοδοχείο είναι όμορφο.
892,ξενυχτάω,to stay up late,засиживаться допоздна,A2,verbs,verb,Ξενυχτάω συχνά όταν παίζω παιχνίδια.
893,ο ξενώνας,hostel,общежитие,A2,travel,noun,ο ξενώνας είναι όμορφος.
894,ξέρω,to know,знать,A2,verbs,verb,Ξέρω λίγα ισπανικά.
895,ξεφεύγω,"to escape, get away","сбегать, ускользать",A2,verbs,verb,Δεν μπορώ να ξεφύγω από τη δουλειά.
896,ξεχνάω,to forget,забывать,A2,verbs,verb,Ξεχνάω πάντα πού βάζω τα κλειδιά μου.
897,ξεχωριστά,separately,отдельно,A2,descriptions,adverb,Πλένω τα λευκά ρούχα ξεχωριστά.
898,ξοδεύω,to spend,тратить,A2,verbs,verb,Ξοδεύω πολλά χρήματα για τα ψώνια.
899,το ξύδι,vinegar,уксус,A2,food,noun,το ξύδι είναι νόστιμο.
900,το ξύλο,wood,дерево,A2,weather,noun,το ξύλο είναι όμορφο.
901,ξυπνάω,to wake up,просыπаться,A2,verbs,verb,Ξυπνάω στις επτά κάθε πρωί.
902,η ξύστρα,sharpener,точилка,A2,school,noun,Χρησιμοποιώ ξύστρα για τα μολύβια μου.
903,ογδόντα,eighty,восемьдесят,A2,time,numeral,Έχω ογδόντα βιβλία.
904,όγδοος,eighth,восьмой,A2,time,numeral,Είμαι όγδοος στη σειρά.
905,ο/η οδηγός,guide,руководство,A2,professions,noun,Ο οδηγός του ταξί με πήγε στο αεροδρόμιο.
906,οδηγώ,"to drive, to guide","водить, направлять",A2,verbs,verb,Οδηγώ αυτοκίνητο κάθε μέρα.
907,η οδοντογλυφίδα,toothpick,зубочистка,A2,objects,noun,Χρησιμοποίησα οδοντογλυφίδα μετά το φαγητό.
908,η οδός,"street, road","улица, дорога",A2,city,noun,η οδός είναι όμορφη.
909,η οικογένεια,family,семья,A2,people,noun,Τρώμε μαζί ως οικογένεια κάθε Κυριακή.
910,το οικογενειακό δέντρο,family tree,семейное дерево,A2,people,noun,Έκανα ένα οικογενειακό δέντρο για το σχολείο.
911,η οικοδομή,building,здание,A2,city,noun,Η νέα οικοδομή στη γειτονιά μου είναι πολύ ψηλή.
912,οκτώχτώ,eight,восемь,A2,time,numeral,Έχω οκτώ μαθήματα αυτή την εβδομάδα.
913,ο οκτώβριος,October,октябрь,A2,time,noun,Τον οκτώβριο αρχίζει το σχολείο.
914,η Ολλανδία,Holland,Голландия,A2,countries,noun,η Ολλανδία είναι όμορφη.
915,ο ολλανδός,Dutch person,голландец,A2,countries,noun,Ένας ολλανδός συνάδελφος μαθαίνει ελληνικά.
916,ολλανδικός,Dutch,голландский,A2,countries,adjective,Ο ολλανδικός καφές είναι πολύ γνωστός.
917,όλοι,"all, every","все, каждый",A2,basics,adjective,Όλοι οι φίλοι μου ήρθαν στο πάρτι.
918,ο Όλυμπος,Mount Olympus,Гора Олимп,A2,weather,noun,ο Όλυμπος είναι όμορφος.
919,η ομάδα,team,команда,A2,sports,noun,Μου αρέσει η ομάδα.
920,όμοιος,similar,аналогичный,A2,descriptions,adjective,Τα δύο σπίτια είναι πολύ όμοια.
921,η ομοιότητα,similarity,сходство,A2,descriptions,noun,Υπάρχει μεγάλη ομοιότητα μεταξύ των δύο αδερφών.
922,όμορφος,beautiful,красивый,A2,feelings,adjective,Η Αθήνα είναι μια όμορφη πόλη.
923,η ομπρέλα,umbrella,зонт,A2,home,noun,Πήρα την ομπρέλα γιατί έβρεχε.
924,όμως,"but, however","но, однако",A2,basics,conjunction,"Θέλω να έρθω, όμως δεν μπορώ."
925,το όνειρο,dream,мечта,A2,feelings,noun,Είδα ένα όμορφο όνειρο απόψε.
926,το όνομα,name,имя,A2,people,noun,Πώς είναι το όνομά σου;
927,η όπερα,opera,опера,A2,music,noun,Μου αρέσει η όπερα.
928,οποίος,who,который,A2,basics,pronoun,"Ο άνθρωπος, ο οποίος μιλάει, είναι φίλος μου."
929,όποιος,"whoever, any","кто бы, любой",A2,basics,pronoun,"Όποιος θέλει, έρχεται μαζί μας."
930,οποιοσδήποτε,"anyone, any",любой,A2,basics,pronoun,Οποιοσδήποτε μπορεί να βοηθήσει.
931,όποτε,whenever,когда,A2,basics,particle,Έλα όποτε θέλεις.
932,όπου,"where, wherever","где, где бы то ни было",A2,basics,adverb,Πηγαίνω όπου με καλούν.
933,όπως,"like, as",как,A2,feelings,conjunction,Κάνε το όπως σου είπα.
934,το ορθογώνιο,rectangle,прямоугольник,A2,objects,noun,Ζωγράφισα ένα ορθογώνιο στον πίνακα.
935,ορίστε!,here you are!,"вот, пожалуйста!",A2,basics,interjection,"Ορίστε, ο καφές σας."
936,ο όροφος,floor,этаж,A2,home,noun,Μένω στον τρίτο όροφο.
937,όταν,when,когда,A2,basics,adverb,Τηλεφωνώ της μαμάς μου όταν κουράζομαι.
938,η Ουγγαρία,Hungary,Венгрия,A2,countries,noun,η Ουγγαρία είναι όμορφη.
939,το ούζο,ouzo,узо,A2,food,noun,Ήπιαμε ούζο με θαλασσινά στην παραλία.
940,η Ουκρανία,Ukraine,Украина,A2,countries,noun,η Ουκρανία είναι όμορφη.
941,ο ουρανός,sky,небо,A2,weather,noun,Ο ουρανός είναι γαλάζιος σήμερα.
942,όχι,no,нет,A2,basics,particle,"Όχι, δεν θέλω."
943,οχτακόσιοι,eight hundred,восемьсот,A2,time,numeral,Το ξενοδοχείο κόστισε οχτακόσια ευρώ.
944,ο πάγκος,bench,скамейка,A2,home,noun,Κάθισα στον πάγκο στο πάρκο.
945,το παγωτό,ice cream,мороженое,A2,food,noun,το παγωτό είναι νόστιμο.
946,το παζλ,puzzle,головоломка,A2,leisure,noun,Μου αρέσει το παζλ.
947,ο/η παθολόγος,internist,терапевт,A2,health,noun,ο παθολόγος είναι καλός.
948,το παιδί,child,ребенок,A2,people,noun,Το παιδί παίζει στην παιδική χαρά.
949,τα παιδιά,"children, kids",дети,A2,people,noun,Τα παιδιά γελάνε και παίζουν.
950,ο/η παιδίατρος,pediatrician,педиатр,A2,health,noun,ο παιδίατρος είναι καλός.
951,παίζω,to play,играть,A2,verbs,verb,Παίζω κιθάρα κάθε βράδυ.
952,παίρνω,to take,"брать, получать",A2,verbs,verb,Σήμερα παίρνω κάτι μικρό.
953,το παιχνίδι,"game, toy","игра, игрушка",A2,leisure,noun,Μου αρέσει το παιχνίδι.
954,το πακέτο,parcel,посылка,A2,objects,noun,Έλαβα ένα πακέτο από τον φίλο μου.
955,το Πακιστάν,Pakistan,Пакистан,A2,countries,noun,το Πακιστάν είναι όμορφο.
956,πάλι,again,снова,A2,basics,adverb,Ήρθε πάλι αργά στο μάθημα.
957,παλιός,old,старый,A2,descriptions,adjective,Το παλιό σπίτι χρειάζεται ανακαίνιση.
958,το παλτό,coat,пальто,A2,clothes,noun,Φορώ παλτό τον χειμώνα.
959,η Παναγία,Holy Mary,Святая Мария,A2,people,noun,η Παναγία μένει κοντά μας.
960,ο Παναμάς,Panama,Панама,A2,countries,noun,ο Παναμάς είναι όμορφος.
961,το πανεπιστήμιο,university,университет,A2,school,noun,Σπουδάζω στο πανεπιστήμιο Αθηνών.
962,πάντα,always,всегда,A2,basics,adverb,Πάντα πλένω τα χέρια μου πριν φάω.
963,το παντελόνι,trousers,брюки,A2,clothes,noun,Αγόρασα ένα μπλε παντελόνι.
964,το παντζάρι,beetroot,свекла,A2,food,noun,το παντζάρι είναι νόστιμο.
965,η παντομίμα,pantomime,пантомима,A2,music,noun,Είδαμε μια παντομίμα στο θέατρο.
966,η παντόφλα,slipper,тапочка,A2,clothes,noun,Φοράω παντόφλες μέσα στο σπίτι.
967,παντρεύομαι,to get married,жениться,A2,verbs,verb,Παντρεύομαι τον Σεπτέμβριο.
968,πάνω,up,вверх,A2,space,adverb,Ο γάτος ανέβηκε πάνω στο δέντρο.
969,πάνω σε,"on, onto",на,A2,space,preposition,Το βιβλίο είναι πάνω σε ένα τραπέζι.
970,το παπούτσι,shoe,обувь,A2,clothes,noun,Αγόρασα καινούρια παπούτσια για τη δουλειά.
971,ο παππούς,grandfather,дедушка,A2,people,noun,Ο παππούς μου μαγειρεύει καφέ κάθε πρωί.
972,η παραγγελία,order,заказ,A2,communication,noun,Έκανα παραγγελία φαγητού online.
973,παραγγέλνω,to order,заказывать,A2,verbs,verb,Παραγγέλνω πάντα καφέ στο μπαρ.
974,το παράδειγμα,example,пример,A2,objects,noun,Δώσε μου ένα παράδειγμα πρότασης.
975,παραδοσιακός,traditional,традиционный,A2,descriptions,adjective,Έφαγα παραδοσιακό ελληνικό φαγητό.
976,το παράθυρο,window,окно,A2,home,noun,Άνοιξε το παράθυρο για να μπει αέρας.
977,παρακαλώ,"to ask, to beg",просить,A2,verbs,verb,Σε παρακαλώ να έρθεις νωρίς.
978,σας παρακαλώ!,please!,пожалуйста!,A2,basics,interjection,"Σας παρακαλώ, καθίστε."
979,παρακάτω,below,ниже,A2,space,adverb,Δες τις οδηγίες παρακάτω στη σελίδα.
980,παρακολουθώ,to watch,смотреть,A2,verbs,verb,Παρακολουθώ μια σειρά στο Netflix.
981,η παραλία,beach,пляж,A2,weather,noun,η παραλία είναι όμορφη.
982,το παραμύθι,fairy tale,сказка,A2,objects,noun,Διαβάζω ένα παραμύθι στο παιδί μου πριν κοιμηθεί.
983,παραπάνω,above,выше,A2,space,adverb,Κοίτα το παραπάνω παράδειγμα.
984,περισσότερο,more,больше,A2,basics,adverb,Θέλω περισσότερο καφέ παρακαλώ.
985,η παρασκευή,Friday,Пятница,A2,time,noun,Την Παρασκευή πηγαίνω για καφέ με φίλους.
986,παρατηρώ,to observe,наблюдать,A2,verbs,verb,Παρατηρώ τα πουλιά στον κήπο.
987,το Παρίσι,Paris,Париж,A2,countries,noun,το Παρίσι είναι όμορφο.
988,το πάρκιγκ,parking,парковка,A2,city,noun,το πάρκιγκ είναι όμορφο.
989,το πάρκο,park,парк,A2,city,noun,το πάρκο είναι όμορφο.
990,παρουσιάζω,to present,представлять,A2,verbs,verb,Παρουσιάζω την εργασία μου στην τάξη.
991,το πάρτι,party,вечеринка,A2,leisure,noun,Μου αρέσει το πάρτι.
992,το Πάσχα,Easter,Пасха,A2,holidays,noun,Μου αρέσει το Πάσχα.
993,η πατάτα,potato,картофель,A2,food,noun,η πατάτα είναι νόστιμη.
994,τα πατατάκια,chips,чипсы,A2,food,noun,τα πατατάκια είναι νόστιμα.
995,ο πατέρας,father,отец,A2,people,noun,Ο πατέρας μου δουλεύει ως μηχανικός.
996,ο Παύλος,Paul,Пол,A2,home,noun,Ο Παύλος είναι φίλος μου από το σχολείο.
998,πεινάω,to be hungry,"быть голодным, хотеть есть",A2,verbs,verb,"Πεινάω, θέλω κάτι να φάω."
998,πεινάω,to be hungry,"быть голодным, хотеть есть",A2,verbs,verb,"Πεινάω, θέλω κάτι να φάω."
999,ο/η πελάτης,client,клиент,A2,people,noun,Ο πελάτης ζήτησε τον λογαριασμό.
1000,η πέμπτη,Thursday,четверг,A2,time,noun,Την Πέμπτη έχω μάθημα ελληνικών.
1001,πέμπτος,fifth,пятый,A2,time,numeral,Είμαι πέμπτος στη σειρά.
1002,πενήντα,fifty,пятьдесят,A2,time,numeral,Έχω πενήντα βιβλία.
1003,πεντακόσιοι,five hundred,пятьсот,A2,time,numeral,Το εισιτήριο κόστισε πεντακόσια ευρώ.
1004,πέντε,five,пять,A2,time,numeral,Έχω πέντε βιβλία.
1005,πεντέμισι,five and a half,пять с половиной,A2,time,numeral,Είναι πεντέμισι η ώρα.
1006,το πεπόνι,melon,дыня,A2,food,noun,το πεπόνι είναι νόστιμο.
1007,το περιβάλλον,environment,окружающая среда,A2,time,noun,Πρέπει να φροντίζουμε το περιβάλλον.
1008,περιγράφω,to describe,описывать,A2,verbs,verb,Περιγράφω το σπίτι μου στους φίλους μου.
1009,περιμένω,to wait,ждать,A2,verbs,verb,Περιμένω τον φίλο μου έξω από το σταθμό.
1010,το περιοδικό,magazine,журнал,A2,leisure,noun,Μου αρέσει το περιοδικό.
1011,η περιοχή,region,регион,A2,city,noun,η περιοχή είναι όμορφη.
1012,το περίπτερο,kiosk,киоск,A2,city,noun,το περίπτερο είναι όμορφο.
1013,περνάω,to pass,проходить,A2,verbs,verb,Περνάω από το φούρνο και αγοράζω ψωμί.
1014,περνάω καλά,to have a good time,хорошо проводить время,A2,verbs,verb,Περνάω καλά στην παραλία με φίλους.
1015,περπατάω,to walk,ходить,A2,verbs,verb,Περπατάω στο πάρκο κάθε πρωί.
1016,το πέρσι,last year,прошлый год,A2,time,noun,Πέρσι πήγαμε διακοπές στην Κρήτη.
1017,το πετρέλαιο,oil,нефть,A2,food,noun,Η τιμή του πετρελαίου ανέβηκε φέτος.
1018,ο Πέτρος,Peter,Петрос,A2,names,noun,Ο Πέτρος δουλεύει ως δάσκαλος.
1019,η Πετρούπολη,Petersburg,Петербург,A2,countries,noun,η Πετρούπολη είναι όμορφη.
1020,η πετσέτα,towel,полотенце,A2,home,noun,Πήρα καθαρή πετσέτα μετά το μπάνιο.
1021,πέφτω,to fall,падать,A2,verbs,verb,Πέφτω στο κρεβάτι κουρασμένος.
1022,πηγαίνω,to go,идти,A2,verbs,verb,Πηγαίνω στη δουλειά με το μετρό.
1023,πια,anymore,больше,A2,basics,particle,Δεν μένει εδώ πια.
1024,το πιάνο,piano,пианино,A2,music,noun,Μου αρέσει το πιάνο.
1025,πιάνω,to touch,"трогать, касаться",A2,verbs,verb,Πιάνω το χέρι του παιδιού μου.
1026,το πιάτο,"plate, dish","тарелка, блюдо",A2,food,noun,το πιάτο είναι νόστιμο.
1027,πιθανός,"probable, possible","вероятный, возможный",A2,descriptions,adjective,Είναι πιθανό να βρέξει αύριο.
1028,πιθανώς,"probably, possibly","вероятно, возможно",A2,descriptions,adverb,Πιθανώς θα έρθω αύριο.
1029,ο πίνακας,blackboard,классная доска,A2,school,noun,ο πίνακας είναι χρήσιμος.
1030,πίνω,to drink,пить,A2,verbs,verb,Τώρα πίνω κάτι καλό.
1031,πιο,more,больше,A2,basics,adverb,Αυτό το εστιατόριο είναι πιο φτηνό.
1032,το πιπέρι,pepper,перец,A2,food,noun,το πιπέρι είναι νόστιμο.
1033,η πιπεριά,pepper,перец,A2,food,noun,η πιπεριά είναι νόστιμη.
1034,το πιρούνι,fork,вилка,A2,food,noun,το πιρούνι είναι νόστιμο.
1035,η πισίνα,swimming pool,бассейн,A2,sports,noun,Μου αρέσει η πισίνα.
1036,πιστεύω,to believe,верить,A2,verbs,verb,Πιστεύω ότι θα τα καταφέρεις.
1037,η πιστωτική κάρτα,credit card,кредитная карта,A2,clothes,noun,Πλήρωσα με πιστωτική κάρτα.
1038,πίσω,behind,позади,A2,space,adverb,Ο σκύλος στέκεται πίσω από το δέντρο.
1039,οι πιτζάμες,pyjamas,пижама,A2,clothes,noun,Φοράω πιτζάμες κάθε βράδυ.
1040,η πίτσα,pizza,пицца,A2,food,noun,η πίτσα είναι νόστιμη.
1041,πλάι,beside,рядом,A2,space,adverb,Ο καναπές είναι πλάι στο παράθυρο.
1042,η πλατεία,"square, plaza",площадь,A2,city,noun,η πλατεία είναι όμορφη.
1043,πλένω,to wash,"мыть, стирать",A2,verbs,verb,Πλένω τα πιάτα μετά το φαγητό.
1044,ο πληθυντικός,plural,множественное число,A2,time,noun,Ο πληθυντικός της λέξης «βιβλίο» είναι «βιβλία».
1045,η πληροφορία,"information, info",информация,A2,concepts,noun,Ζήτησα πληροφορία για τα εισιτήρια.
1046,πληρώνω,to pay,платить,A2,verbs,verb,Πληρώνω τον λογαριασμό στο εστιατόριο.
1047,το πλοίο,ship,судно,A2,city,noun,το πλοίο είναι όμορφο.
1048,το πλυντήριο,washing machine,стиральная машина,A2,city,noun,Βάζω τα ρούχα στο πλυντήριο.
1049,το ποδήλατο,bicycle,велосипед,A2,city,noun,Πηγαίνω στο πάρκο με το ποδήλατό μου.
1050,το πόδι,"leg, foot","нога, ступня",A2,body,noun,Με πονάει το πόδι μου μετά το τρέξιμο.
1051,το ποδόσφαιρο,football,футбол,A2,leisure,noun,Μου αρέσει το ποδόσφαιρο.
1052,τίνος,whose,чей,A2,basics,pronoun,Τίνος είναι αυτό το βιβλίο;
1053,ποιος,which,который,A2,basics,pronoun,Ποιος δρόμος πάει στο κέντρο;
1054,ποιος,who,кто,A2,basics,pronoun,Ποιος είναι στην πόρτα;
1055,η πόλη,city,город,A2,city,noun,Μένω σε μια μεγάλη πόλη.
1056,πολλοί,"many, a lot of",много,A2,basics,adjective,Πολλοί άνθρωποι ζουν στην Αθήνα.
1057,πολύ,much,много,A2,basics,adverb,Είμαι πολύ κουρασμένος σήμερα.
1058,η πολυθρόνα,armchair,кресло,A2,objects,noun,Κάθισα στην πολυθρόνα και διάβασα.
1059,το πολυκατάστημα,department store,универмаг,A2,clothes,noun,Αγόρασα ρούχα στο πολυκατάστημα.
1060,η πολυκατοικία,appartment building,квартирное здание,A2,city,noun,η πολυκατοικία είναι όμορφη.
1061,πολύς,much,много,A2,basics,adjective,Έχω πολύ δουλειά σήμερα.
1062,πονάω,"to hurt, to feel pain","болеть, чувствовать боль",A2,verbs,verb,Πονάω στην πλάτη από πολύ κάθισμα.
1063,ο πόνος,pain,боль,A2,body,noun,Έχω πόνο στο κεφάλι.
1064,η πόρτα,door,дверь,A2,home,noun,Άνοιξε την πόρτα γιατί κτυπάνε.
1065,η Πορτογαλία,Portugal,Португалия,A2,countries,noun,η Πορτογαλία είναι όμορφη.
1066,ο πορτογάλος,Portuguese person,португалец,A2,countries,noun,Ένας πορτογάλος τουρίστας μας ρώτησε τη διεύθυνση.
1067,πορτογαλικός,Portuguese,португальский,A2,countries,adjective,Η πορτογαλική μουσική είναι πολύ συναισθηματική.
1068,η πορτοκαλάδα,orange juice,апельсиновый сок,A2,food,noun,Πίνω πορτοκαλάδα κάθε πρωί.
1069,πορτοκαλής,orange-colored,оранжевый,A2,food,adjective,Αγόρασα πορτοκαλί μπλούζα.
1070,το πορτοκάλι,orange,апельсин,A2,food,noun,το πορτοκάλι είναι νόστιμο.
1071,η πορτοκαλιά,orange tree,апельсиновое дерево,A2,food,noun,η πορτοκαλιά είναι νόστιμη.
1072,το πορτοφόλι,wallet,кошелек,A2,money,noun,Έχασα το πορτοφόλι μου στο λεωφορείο.
1073,πόσοι,how many,сколько,A2,basics,adjective,Πόσοι φίλοι θα έρθουν;
1074,πόσος,how much,сколько,A2,basics,adjective,Πόσος καφές έχει απομείνει;
1075,ποτέ,never,никогда,A2,basics,adverb,Δεν πίνω ποτέ αλκοόλ.
1076,πότε,when,когда,A2,basics,adverb,Πότε φτάνει το τρένο;
1077,το ποτήρι,drinking glass,стакан,A2,food,noun,Γέμισα το ποτήρι με νερό.
1078,ποτίζω,water,поливать,A2,food,verb,Ποτίζω τα φυτά κάθε πρωί.
1079,το ποτό,drink,напиток,A2,food,noun,Τι ποτό θα πάρεις;
1080,που,"who, that","кто, который",A2,basics,pronoun,Το παιδί που μιλάει είναι ο αδελφός μου.
1081,πού,where,где,A2,basics,adverb,Πού είναι η στάση του λεωφορείου;
1082,το πουκάμισο,shirt,рубашка,A2,clothes,noun,Φοράω λευκό πουκάμισο για τη δουλειά.
1083,πουλάω,to sell,продавать,A2,verbs,verb,Πουλάω το παλιό μου αυτοκίνητο.
1084,το πουλί,bird,птица,A2,animals,noun,Ένα μικρό πουλί κάθισε στο παράθυρό μου.
1085,το πράγμα,thing,вещь,A2,objects,noun,Τι πράγμα είναι αυτό στο τραπέζι;
1086,η πραγματικότητα,reality,реальность,A2,concepts,noun,Στην πραγματικότητα η ζωή είναι διαφορετική.
1087,πράσινο,green,зеленый,A2,colors,adjective,Το φόρεμα είναι πράσινο.
1088,πρέπει,"must, should","нужно, должен",A2,basics,verb,Πρέπει να φύγω τώρα.
1089,πριν (από),before,перед,A2,basics,preposition,Έφυγα πριν από λίγο.
1090,το πρόβλημα,problem,проблема,A2,society,noun,Έχω ένα πρόβλημα με το κινητό μου.
1091,το πρόγραμμα,"schedule, program","расписание, программа",A2,society,noun,Κοίταξα το πρόγραμμα της ταινίας.
1092,προετοιμάζω,to prepare,готовить,A2,verbs,verb,Προετοιμάζω την παρουσίαση για αύριο.
1093,η προετοιμασία,preparation,подготовка,A2,concepts,noun,Η προετοιμασία για τον γάμο ήταν πολύ δύσκολη.
1094,προηγούμενος,previous,предыдущий,A2,descriptions,adjective,Η προηγούμενη δουλειά μου ήταν δύσκολη.
1095,το προϊόν,product,продукт,A2,society,noun,Αυτό το προϊόν είναι πολύ καλής ποιότητας.
1096,ο προορισμός,destination,пункт назначения,A2,travel,noun,Ο προορισμός μας αυτό το καλοκαίρι είναι η Κρήτη.
1097,προς,"to, towards","к, по направлению к",A2,verbs,preposition,Πηγαίνω προς το σπίτι.
1098,προσεκτικά,carefully,тщательно,A2,descriptions,adverb,Οδήγησε προσεκτικά στη βροχή.
1099,προσέχω,to pay attention to,обращать внимание на,A2,verbs,verb,Προσέχω πάντα όταν περνάω τον δρόμο.
1100,προσκαλώ,to invite,приглашать,A2,verbs,verb,Προσκαλώ τους φίλους μου για δείπνο.
1101,η πρόσκληση,invitation,приглашение,A2,concepts,noun,Έλαβα πρόσκληση για τον γάμο του φίλου μου.
1102,η προσοχή,attention,внимание,A2,concepts,noun,Χρειάζεσαι προσοχή όταν οδηγείς.
1103,προσπαθώ,to try,пытаться,A2,verbs,verb,Προσπαθώ να μάθω ελληνικά κάθε μέρα.
1104,προσφέρω,to offer,предлагать,A2,verbs,verb,Προσφέρω καφέ στους επισκέπτες.
1105,το πρόσωπο,person,человек,A2,people,noun,Έχει ωραίο πρόσωπο με μεγάλα μάτια.
1106,η πρόταση,sentence,предложение,A2,concepts,noun,Γράψε μια απλή πρόταση στα ελληνικά.
1107,προτείνω,"to suggest, to propose",предлагать,A2,verbs,verb,Προτείνω να πάμε στο νέο εστιατόριο.
1108,προτιμώ,to prefer,предпочитать,A2,verbs,verb,Προτιμώ τον καφέ από το τσάι.
1109,προφέρω,to pronounce,произносить,A2,verbs,verb,Πώς προφέρεις αυτή τη λέξη;
1110,η προφορά,"pronounciation, accent","произношение, акцент",A2,descriptions,noun,Η ελληνική προφορά δεν είναι δύσκολη.
1111,το πρωί,morning,утро,A2,time,noun,Πίνω καφέ κάθε πρωί.
1112,το πρωινό,breakfast,завтрак,A2,food,noun,το πρωινό είναι νόστιμο.
1113,πρώτα,firstly,во-первых,A2,descriptions,adverb,Πρώτα πλένω τα χέρια μου.
1114,η Πρωτομαγιά,First of May,Первое мая,A2,time,noun,Την Πρωτομαγιά δεν δουλεύουμε.
1115,πρώτος,first,первый,A2,time,numeral,Είμαι πρώτος στη σειρά.
1116,η Πρωτοχρονιά,New Year's Eve,Новогодняя ночь,A2,time,noun,Την Πρωτοχρονιά γιορτάζουμε με την οικογένεια.
1117,ο πύργος,tower,башня,A2,home,noun,Ο Πύργος του Άιφελ είναι στο Παρίσι.
1118,ο πυρετός,fever,жар,A2,body,noun,Έχω πυρετό και πρέπει να μείνω σπίτι.
1119,ο πωλητής,"salesperson, shop assistant","продавец, ассистент магазина",A2,clothes,noun,Ο πωλητής με βοήθησε να βρω το σωστό μέγεθος.
1120,πώς,how,как,A2,basics,adverb,Πώς πας στη δουλειά;
1121,πώς σε λένε;,what's your name?,как тебя зовут?,A2,communication,phrase,Πώς σε λένε;
1122,το ραδιόφωνο,radio,радио,A2,communication,noun,Ακούω ραδιόφωνο όταν οδηγώ.
1123,το ρεπό,day off,выходной,A2,time,noun,Σήμερα έχω ρεπό από τη δουλειά.
1124,το ρεύμα (ηλεκτρικό),electricity,электричество,A2,concepts,noun,Έκοψαν το ρεύμα για μια ώρα στη γειτονιά.
1125,ρίχνω,to throw,бросать,A2,verbs,verb,Ρίχνω τη μπάλα στον φίλο μου.
1126,ροζ,pink,розовый,A2,colors,adjective,Ο τοίχος είναι ροζ.
1127,το ρολόι,clock,часы,A2,time,noun,Κοίταξα το ρολόι και είδα ότι αργώ.
1128,ο ρόλος,"role, part","роль, часть",A2,society,noun,Έπαιξε τον κύριο ρόλο στην παράσταση.
1129,το ρούχο,cloth,ткань,A2,clothes,noun,Αγόρασα καινούρια ρούχα για το καλοκαίρι.
1130,το ρύζι,rice,рис,A2,food,noun,το ρύζι είναι νόστιμο.
1131,η Ρώμη,Rome,Рим,A2,countries,noun,η Ρώμη είναι όμορφη.
1132,η Ρωσία,Russia,Россия,A2,countries,noun,η Ρωσία είναι όμορφη.
1133,ο ρώσσος,Russian person,русский,A2,countries,noun,Ένας ρώσσος φίλος μου μαθαίνει ελληνικά.
1134,ρωσσικός,Russian,русский,A2,countries,adjective,Μου αρέσει η ρωσσική λογοτεχνία.
1135,ρωτάω,to ask,спрашивать,A2,verbs,verb,Ρωτάω τον δάσκαλο αν δεν καταλαβαίνω.
1136,η σάββατο,Saturday,суббота,A2,time,noun,Το Σάββατο πηγαίνω για ψώνια.
